     51/99     2.06G   0.07547   0.03367         0    0.1091        72       416     0.775    0.4265    0.4547    0.2243   0.06807   0.02853         0
     52/99     2.06G   0.07591   0.03343         0    0.1093       160       416    0.7529     0.431    0.4521    0.2237   0.06799   0.02853         0
     53/99     2.06G   0.07544    0.0336         0     0.109        85       416    0.7647     0.427    0.4531    0.2249   0.06803   0.02847         0
     54/99     2.06G   0.07528   0.03363         0    0.1089       150       416     0.776    0.4232    0.4541    0.2255   0.06808   0.02846         0
     55/99     2.06G   0.07532   0.03318         0    0.1085        68       416    0.7956    0.4183     0.453    0.2255   0.06797   0.02846         0
     56/99     2.06G   0.07466   0.03283         0    0.1075       455       416    0.7972    0.4199    0.4535    0.2267   0.06794    0.0284         0
     57/99     2.06G     0.075   0.03356         0    0.1086       157       416    0.7652    0.4294     0.455    0.2273   0.06791   0.02841         0
     58/99     2.06G   0.07481   0.03322         0     0.108       178       416    0.7702    0.4304    0.4568     0.227   0.06781   0.02842         0
     59/99     2.06G   0.07475   0.03288         0    0.1076       102       416    0.7779    0.4313    0.4588    0.2271   0.06774   0.02842         0
     60/99     2.06G   0.07455   0.03317         0    0.1077       116       416    0.7794    0.4296    0.4594    0.2276   0.06769   0.02841         0
     61/99     2.06G   0.07457   0.03325         0    0.1078       197       416    0.7683    0.4331    0.4586    0.2279   0.06763   0.02842         0
     62/99     2.06G    0.0747   0.03302         0    0.1077       268       416     0.807     0.424    0.4606    0.2282   0.06754   0.02841         0
     63/99     2.06G   0.07384   0.03306         0    0.1069       521       416     0.779    0.4286    0.4585    0.2292   0.06748   0.02841         0
     64/99     2.06G   0.07492   0.03337         0    0.1083        95       416    0.7846    0.4273    0.4586    0.2289   0.06741   0.02838         0
     65/99     2.06G   0.07385   0.03309         0    0.1069        99       416    0.7807     0.426    0.4588     0.229   0.06739   0.02835         0
     66/99     2.06G   0.07441   0.03329         0    0.1077       690       416    0.7979    0.4228    0.4607    0.2292   0.06735   0.02835         0
     67/99     2.06G   0.07386   0.03279         0    0.1066       123       416     0.783    0.4266     0.461    0.2299   0.06734   0.02841         0
     68/99     2.06G   0.07462   0.03322         0    0.1078       160       416    0.8071      0.42     0.461      0.23    0.0673   0.02838         0
     69/99     2.06G   0.07345    0.0325         0     0.106       159       416    0.8063      0.42    0.4609    0.2304   0.06727    0.0284         0
     70/99     2.06G   0.07332   0.03294         0    0.1063       153       416    0.7546    0.4363    0.4614    0.2309   0.06723   0.02838         0
     71/99     2.06G   0.07377   0.03348         0    0.1073       171       416    0.7506    0.4377    0.4619    0.2307   0.06721   0.02839         0
     72/99     2.06G   0.07397   0.03304         0     0.107       304       416    0.7488    0.4407    0.4636    0.2311    0.0672   0.02837         0
     73/99     2.06G   0.07388   0.03268         0    0.1066       216       416    0.7349    0.4455    0.4634    0.2312   0.06719   0.02836         0
     74/99     2.06G   0.07369   0.03272         0    0.1064       227       416    0.7402    0.4447    0.4652    0.2316   0.06716   0.02836         0
     75/99     2.06G   0.07361   0.03333         0    0.1069        90       416    0.7456    0.4411    0.4634    0.2311   0.06716   0.02834         0
     76/99     2.06G   0.07359   0.03336         0    0.1069       126       416    0.7384    0.4464    0.4642    0.2312   0.06714   0.02836         0
     77/99     2.06G   0.07363   0.03322         0    0.1068       180       416    0.7433    0.4454    0.4642    0.2314   0.06713   0.02835         0
     78/99     2.06G     0.073   0.03284         0    0.1058       166       416    0.7405     0.446    0.4636    0.2313   0.06713   0.02835         0
     79/99     2.06G   0.07329   0.03276         0    0.1061       160       416    0.7504     0.444    0.4651    0.2323   0.06712   0.02834         0
     80/99     2.06G   0.07314   0.03299         0    0.1061       373       416    0.7521    0.4431    0.4646    0.2329   0.06712   0.02832         0
     81/99     2.06G   0.07292   0.03236         0    0.1053       165       416    0.7569    0.4433    0.4655    0.2329   0.06712   0.02833         0
     82/99     2.06G   0.07269   0.03232         0     0.105       161       416    0.7589    0.4435    0.4668    0.2333   0.06711   0.02832         0
     83/99     2.06G   0.07314   0.03266         0    0.1058       296       416    0.7562     0.444    0.4666    0.2334   0.06711   0.02831         0
     84/99     2.06G   0.07331   0.03315         0    0.1065       162       416    0.7562     0.446    0.4682    0.2341   0.06711   0.02829         0
     85/99     2.06G   0.07227   0.03245         0    0.1047       158       416    0.7971    0.4323    0.4675    0.2342   0.06709   0.02829         0
     86/99     2.06G    0.0732   0.03276         0     0.106       160       416    0.7933    0.4349    0.4679    0.2343   0.06707   0.02831         0
     87/99     2.06G   0.07258   0.03263         0    0.1052       336       416    0.7941    0.4346    0.4681    0.2343   0.06705    0.0283         0
     88/99     2.06G   0.07273   0.03262         0    0.1053       197       416     0.792    0.4353    0.4682    0.2344   0.06702   0.02829         0
     89/99     2.06G   0.07305   0.03318         0    0.1062       202       416    0.7929    0.4361    0.4683    0.2344   0.06701   0.02831         0
     90/99     2.06G    0.0732   0.03344         0    0.1066       172       416    0.7967    0.4349    0.4681    0.2344     0.067   0.02831         0
     91/99     2.06G   0.07235   0.03239         0    0.1047       120       416    0.7885    0.4375    0.4681    0.2346   0.06698   0.02831         0
     92/99     2.06G   0.07274    0.0325         0    0.1052       161       416    0.7912    0.4369    0.4688    0.2348   0.06698   0.02829         0
     93/99     2.06G   0.07237   0.03247         0    0.1048       219       416    0.7841    0.4391    0.4692    0.2351   0.06696    0.0283         0
     94/99     2.06G   0.07236   0.03262         0     0.105       170       416    0.7842    0.4387    0.4686    0.2351   0.06695    0.0283         0
     95/99     2.06G   0.07223   0.03225         0    0.1045       137       416    0.7869    0.4381     0.469    0.2352   0.06694   0.02829         0
     96/99     2.06G   0.07266   0.03254         0    0.1052       171       416    0.7881    0.4379    0.4697    0.2354   0.06694    0.0283         0
     97/99     2.06G   0.07232   0.03218         0    0.1045       177       416    0.7884    0.4373    0.4691    0.2355   0.06693   0.02829         0
     98/99     2.06G   0.07255   0.03244         0     0.105       165       416    0.7876    0.4377    0.4693    0.2353   0.06691   0.02828         0
     99/99     2.06G    0.0725   0.03243         0    0.1049       190       416    0.7879    0.4359    0.4682    0.2354    0.0669   0.02828         0
